שם חנות,שם הקניון,עיר,כתובת לוגו,שעות פתיחה,קטגוריה,קומה,טלפון,תיאור,כתובת
חומוס גבעתיים,קניון עזריאלי גיבעתיים,גיבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:00",אוכל,3,050-2721760,קניון קבוצת קניוני עזריאלי,יצחק רבין 53 גבעתיים,
קולנוע רב חן,קניון עזריאלי גיבעתיים,גיבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:00",פנאי,3,03-7311839,קניון קבוצת קניוני עזריאלי,יצחק רבין 53 גבעתיים,
בילבונג,קניון עזריאלי תל אביב,תל אביב,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:30-15:30
מוצ""ש- שעה לאחר צאת השבת עד 23:00",אופנה,1,03-6950744,קניון קבוצת קניוני עזריאלי,דרך מנחם בגין 132  תל אביב,
רולדין,קניון עזריאלי תל אביב,תל אביב,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:30-15:30
מוצ""ש- שעה לאחר צאת השבת עד 23:00",אוכל,1,03-6081120,קניון קבוצת קניוני עזריאלי,דרך מנחם בגין 132  תל אביב,
באג,קניון עופר הגבעה,גבעת שמואל,גכלחהגכ,"א'-ה':09:30 - 21:30
יום ו וערבי חג: 09:00 - 14:30
שבת: 23:00 - שעה לאחר צאת השבת",אלקטרוניקה,-2,03-6396313,קניון קבוצת קניוני עופר,יוני נתניהו 29  גבעת שמואל ישראל,
גו אקטיב,קניון עופר מרום,רמת גן,גכלחהגכ,"א'-ה':09:30 - 21:30
יום ו וערבי חג: 09:00 - 14:30
שבת: 23:00 - שעה לאחר צאת השבת",פנאי,1,03-6780811,קניון קבוצת קניוני עופר,חיים לנדאו 7  רמת גן ישראל,
פיצה האט,קניון עופר מרום,רמת גן,גכלחהגכ,"א'-ה':09:30 - 21:30
יום ו וערבי חג: 09:00 - 14:30
שבת: 23:00 - שעה לאחר צאת השבת",אוכל,0,1-700-50-60-70,קניון קבוצת קניוני עופר,חיים לנדאו 7  רמת גן  ישראל,
רויאלטי תכשיטים,קניון שבעת הכוכבים,הרצליה,גכלחהגכ,ימי חול: 9:30-21:00 ימי שישי: 09:30-15:00 ימי שבת: 10:00-22:00,תכשיטים,1,09-9503359,,שדרות שבעת הכוכבים 8  הרצליה,
יריד האוכל,קניון שבעת הכוכבים,הרצליה,גכלחהגכ,כל יום שישי,אירוע אוכל,0,03-6396313,,שדרות שבעת הכוכבים 8  הרצליה,
twenty four seven,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:00",אופנת נשים,2,052-6083620,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
בילבונג,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:01",אופנה,2,03-7316324,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
רונן חן,קניון עזריאלי גבעתיים,גבעתיים,ה,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:02",אופנת נשים,2,054-3030519,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
crazy line,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:03",אופנת נשים,2,03-7311197,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
שווארמה ופרגיות,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:04",אוכל,3,052-6407965,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
אושי אושי,קניון עזריאלי גבעתיים,גבעתיים,גכלחהגכ,"א' - ה'- 09:30-22:00
ו'- 09:00-15:30
שבת - בתי הקפה מהשעה 10:00
חנויות - כחצי שעה מצאת השבת ועד 23:05",אוכל,1,03-7316826,קניון קבוצת קניוני עזריאלי,יצחק רבין 53  גבעתיים,
